"ID","Description","GeneRatio","BgRatio","pvalue","FDR","qvalue","geneID","Count","Source"
"GO:0006091","generation of precursor metabolites and energy","54/727","486/18481",5.68494361094219e-12,2.83337589569359e-08,2.3613460514503e-08,"Cdk1/Vgf/Ppp1r2/Flcn/Myc/Suclg1/Ndufa8/Ndufa12/Pdhb/Shmt2/Acox1/Cycs/Cyb5b/Ndufs1/Cyc1/Nop53/Eno2/Tpi1/Tkt/Ide/Acly/Atp5f1a/Pfkp/Bnip3/Taldo1/Sod2/Acat2/Stat3/Mlx/Igf2/Ins2/Pklr/Irs2/Ndufb6/Atp5mf/Akt1/ND2/Uqcrc1/Vcp/Ppp1r1a/Epm2aip1/Ak4/Adh4/Adh5/Gaa/Rhoa/Aldoa/G6pc1/Gpd1/Ddit4/Mtch2/Prps1/Atp5pb/Cyb5a",54,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0021762","substantia nigra development","13/727","45/18481",1.10650172558313e-08,2.75740230015317e-05,2.29802937323739e-05,"Uchl1/Calm1/Ywhae/Padi2/Dynll1/Calm3/Hspa5/Maob/Actb/Rhoa/Ywhaq/Atp5pb/Calm2",13,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:1901800","positive regulation of proteasomal protein catabolic process","20/727","116/18481",2.4461100945779e-08,3.59366440546875e-05,2.99497333445545e-05,"Mapk9/Ubqln2/Sumo2/Trib1/Wfs1/Mdm2/Trib3/Psmc5/Fbxw7/Psmc3/Nop53/Herpud1/Plk1/Psmc4/Stub1/Akt1/Vcp/Csnk1d/Psmd10/Rbx1",20,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0009117","nucleotide metabolic process","45/727","470/18481",3.63049170567071e-08,3.59366440546875e-05,2.99497333445545e-05,"Ran/Atp5mc3/Opa1/Dnm1l/Atp6v1a/Parp1/Dck/Flcn/Ctps2/Myc/Shmt1/Suclg1/Dut/Pdhb/Txnrd1/Me1/Ndufs1/Dctd/Aprt/Me2/Hsd17b4/Tkt/Acly/Atp5f1a/Taldo1/Ola1/Stat3/Acsl6/Atp5mf/Fitm2/Ctns/Atp2b2/Impdh2/Vcp/Tyms/Ak4/Rrm1/Tk1/Rhoa/Aldoa/Rrm2/Gpd1/Prps1/Atp5pb/LOC100359539",45,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0009141","nucleoside triphosphate metabolic process","23/727","156/18481",4.73154871594585e-08,3.59366440546875e-05,2.99497333445545e-05,"Ran/Atp5mc3/Opa1/Dnm1l/Atp6v1a/Parp1/Flcn/Ctps2/Myc/Dut/Ndufs1/Atp5f1a/Ola1/Stat3/Atp5mf/Ctns/Impdh2/Vcp/Tyms/Ak4/Rhoa/Aldoa/Atp5pb",23,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0097193","intrinsic apoptotic signaling pathway","36/727","335/18481",4.94724794980873e-08,3.59366440546875e-05,2.99497333445545e-05,"Hsph1/Opa1/Dnm1l/Sod1/Parp1/Flcn/Myc/Wfs1/Ybx3/Gcg/Mdm2/Ddit3/Dnaja1/Trib3/Serinc3/Hdac1/Casp3/Fbxw7/Melk/Chac1/Msh6/Eif5a/Hras/Nck2/Bnip3/Atf4/Herpud1/Sod2/Ins2/Tmem109/Akt1/Ppm1f/Jmy/Ddit4/Cebpb/Mtch2",36,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0006753","nucleoside phosphate metabolic process","45/727","477/18481",5.62198150120825e-08,3.59366440546875e-05,2.99497333445545e-05,"Ran/Atp5mc3/Opa1/Dnm1l/Atp6v1a/Parp1/Dck/Flcn/Ctps2/Myc/Shmt1/Suclg1/Dut/Pdhb/Txnrd1/Me1/Ndufs1/Dctd/Aprt/Me2/Hsd17b4/Tkt/Acly/Atp5f1a/Taldo1/Ola1/Stat3/Acsl6/Atp5mf/Fitm2/Ctns/Atp2b2/Impdh2/Vcp/Tyms/Ak4/Rrm1/Tk1/Rhoa/Aldoa/Rrm2/Gpd1/Prps1/Atp5pb/LOC100359539",45,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0062197","cellular response to chemical stress","40/727","399/18481",6.12818679366329e-08,3.59366440546875e-05,2.99497333445545e-05,"Smpd3/Foxo3/Cdk1/Hsph1/Atp2a2/Sod1/Mapk9/Parp1/Myc/Ybx3/Mdm2/Ddit3/Ambp/Dnaja1/Slc2a1/Nlk/Nefh/Nfe2l1/Txnrd1/Hdac1/Slc7a11/Casp3/Gch1/Wnt4/Arpc2/Gsr/Letm1/Prdx1/Bnip3/Atf4/Sod2/Cfl1/Pcna/Jun/Akt1/Kdm6b/Sesn2/Micu1/Lonp1/Errfi1",40,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:1903052","positive regulation of proteolysis involved in protein catabolic process","21/727","135/18481",7.04789454462511e-08,3.59366440546875e-05,2.99497333445545e-05,"Mapk9/Ubqln2/Sumo2/Trib1/Wfs1/Mdm2/Trib3/Psmc5/Fbxw7/Psmc3/Nop53/Agtpbp1/Herpud1/Plk1/Psmc4/Stub1/Akt1/Vcp/Csnk1d/Psmd10/Rbx1",21,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0015980","energy derivation by oxidation of organic compounds","36/727","340/18481",7.21040209764998e-08,3.59366440546875e-05,2.99497333445545e-05,"Cdk1/Ppp1r2/Flcn/Myc/Suclg1/Ndufa8/Ndufa12/Pdhb/Shmt2/Cycs/Ndufs1/Cyc1/Nop53/Ide/Acly/Atp5f1a/Bnip3/Sod2/Igf2/Ins2/Irs2/Ndufb6/Atp5mf/Akt1/ND2/Uqcrc1/Vcp/Ppp1r1a/Epm2aip1/Ak4/Gaa/Rhoa/G6pc1/Gpd1/Mtch2/Atp5pb",36,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
